match_id,event_date,Event,Div,source_file,source_row_number,pool_key,team_code,team_name,opponent_code,opponent_name,team_won,point_margin_for_team,set_margin_for_team,club,age,team_rank,region
ad657c526e5c0bfb7f882e1a059076393bf81025,2025-12-20,AAUUpstateCup2026,14 B,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,4,MIXED,B13SJJVB1NE,SMASH Boys 13-1,B14CAPIT1XL,CSVC 14 CASCADE,True,16.0,2.0,SJJVB,13,1,NE
f0502335ef3d6c3a5bbfbaadf2e6f8f70277809c,2025-12-20,AAUUpstateCup2026,14 B,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,5,MIXED,B13SJJVB1NE,SMASH Boys 13-1,B14CAPIT2XL,CSVC 14 SAWTEETH,True,24.0,2.0,SJJVB,13,1,NE
93802df71f3146a56fdd030d94c07cbb9736268c,2025-12-20,AAUUpstateCup2026,14 B,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,9,MIXED,B13SJJVB1NE,SMASH Boys 13-1,B14SAVBC1XL,Sporting Albany Boys 14u,True,15.0,2.0,SJJVB,13,1,NE
8acd54ccdf12e9bc4babebcfb86704c912f76ba6,2025-12-21,AAUUpstateCup2026,14 B,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,63,MIXED,B13SJJVB1NE,SMASH Boys 13-1,B14SJJVB1NE,SMASH Boys 14-1,False,-22.0,-2.0,SJJVB,13,1,NE
511a07d9a1bfbb3a3cff5a4b6a36326d55472329,2025-12-21,AAUUpstateCup2026,14 B,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,65,MIXED,B13SJJVB1NE,SMASH Boys 13-1,B14SJJVB2NE,SMASH Boys 14's Thunder,True,16.0,2.0,SJJVB,13,1,NE
5a60b855f9cf9aaabaec01c9653a166bfa2cc51a,2025-12-21,AAUUpstateCup2026,14 B,AAUUpstateCup2026-results-for-GEVA-1767074717914.xlsx,67,MIXED,B13SJJVB1NE,SMASH Boys 13-1,B14SAVBC1XL,Sporting Albany Boys 14u,False,-2.0,-1.0,SJJVB,13,1,NE
d6ed68d39970156f68e342a52fb7e6dd5fd104b0,2026-01-31,AAUGrandPrixOne2026,14 B,GrandPrix1_Boys - Sheet1.csv,1,MIXED,B13SJJVB1NE,SMASH Boys 13-1,B14RRJVB2NE,Boston United Boys 13 Select 1,True,18.0,2.0,SJJVB,13,1,NE
020687970c393558ec2999918d7b30ec271e20a7,2026-01-31,AAUGrandPrixOne2026,14 B,GrandPrix1_Boys - Sheet1.csv,4,MIXED,B13SJJVB1NE,SMASH Boys 13-1,B14HKJVB1NE,Husky 14.1,True,12.0,2.0,SJJVB,13,1,NE
3bc755612f817fa8fc96934b380f54db847ab759,2026-01-31,AAUGrandPrixOne2026,14 B,GrandPrix1_Boys - Sheet1.csv,18,MIXED,B13SJJVB1NE,SMASH Boys 13-1,B14SAVBC1XL,Sporting Albany Boys 14u,True,9.0,2.0,SJJVB,13,1,NE
3ebe1fdad993aa0240c1246ffa51d19c00915bde,2026-02-01,AAUGrandPrixOne2026,14 B,GrandPrix1_Boys - Sheet1.csv,2,MIXED,B13SJJVB1NE,SMASH Boys 13-1,B14117752XX,ValleyVBC Elite Boys,False,-16.0,-1.0,SJJVB,13,1,NE
a20af404fb7125b53f47ec1b33fee0bf0966afa0,2026-02-01,AAUGrandPrixOne2026,14 B,GrandPrix1_Boys - Sheet1.csv,16,MIXED,B13SJJVB1NE,SMASH Boys 13-1,B14RRJVB1NE,Boston United Boys 14-1,False,-11.0,-2.0,SJJVB,13,1,NE
578a53a16597cba19ab60c20bdcf49f54774877c,2026-03-14,AAUBoysReg2026,14 B,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,2,MIXED,B13SJJVB1NE,SMASH Boys 13-1,B14SAVBC1XL,Sporting Albany Boys 14u,False,-21.0,-2.0,SJJVB,13,1,NE
2db286d94d7a02a5a3a403a69dc65a7c3b3612a1,2026-03-14,AAUBoysReg2026,14 B,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,9,MIXED,B13SJJVB1NE,SMASH Boys 13-1,B14117752XX,ValleyVBC Elite Boys,False,-1.0,-1.0,SJJVB,13,1,NE
e4e72a34ab7b161d9613d7368a5ab345d5758b38,2026-03-14,AAUBoysReg2026,14 B,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,13,MIXED,B13SJJVB1NE,SMASH Boys 13-1,B14RRJVB2NE,Boston United Boys 13 Select 1,True,13.0,2.0,SJJVB,13,1,NE
228152a1046450c21513331d12297fe5764c1e78,2026-03-15,AAUBoysReg2026,14 B,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,148,MIXED,B13SJJVB1NE,SMASH Boys 13-1,B14NEVBC1NE,NEVBC Boys 14.1,False,-18.0,-2.0,SJJVB,13,1,NE
16d59161ecfd7802824f9372d856eec2f1f26100,2026-03-15,AAUBoysReg2026,14 B,AAUBoysReg2026-results-for-GEVA-1773668748490.xlsx,153,MIXED,B13SJJVB1NE,SMASH Boys 13-1,B14CAPIT1XL,CSVC 14 CASCADE,True,11.0,1.0,SJJVB,13,1,NE
